Year,Month,Day,Hour,Minute,Temperature,,,
2016,11,15,22,0,8.2,,,
2016,11,15,23,0,8.01,,,
2016,11,16,0,0,7.67,,,
2016,11,16,1,0,7.23,,,
2016,11,16,2,0,6.96,,,
2016,11,16,3,0,6.88,,,
2016,11,16,4,0,6.87,,,
2016,11,16,5,0,7.28,,,
2016,11,16,6,0,7.49,,,
2016,11,16,7,0,7.96,,,
2016,11,16,8,0,8.55,,,
2016,11,16,9,0,9.12,,,
2016,11,16,10,0,10.61,,,
2016,11,16,11,0,12.36,,,
2016,11,16,12,0,13.31,,,
2016,11,16,13,0,9.21,,,
2016,11,16,14,0,11.01,,,
2016,11,16,15,0,12.26,,,
2016,11,16,16,0,12.09,,,
2016,11,16,17,0,11.37,,,
2016,11,16,18,0,11.17,,,
2016,11,16,19,0,11.11,,,
2016,11,16,20,0,11.13,,,
2016,11,16,21,0,10.76,,,
2016,11,16,22,0,10.54,,,
2016,11,16,23,0,10.24,,,
2016,11,17,0,0,10.59,,,
2016,11,17,1,0,10.61,,,
2016,11,17,2,0,10.54,,,
2016,11,17,3,0,10.46,,,
2016,11,17,4,0,10.56,,,
2016,11,17,5,0,10.62,,,
2016,11,17,6,0,10.15,,,
2016,11,17,7,0,10.26,,,
2016,11,17,8,0,10.24,,,
2016,11,17,9,0,11.05,,,
2016,11,17,10,0,11.72,,,
2016,11,17,11,0,13.23,,,
2016,11,17,12,0,14.21,,,
2016,11,17,13,0,13.95,,,
2016,11,17,14,0,14.18,,,
2016,11,17,15,0,14.37,,,
2016,11,17,16,0,13.84,,,
2016,11,17,17,0,12.84,,,
2016,11,17,18,0,12.03,,,
2016,11,17,19,0,11.78,,,
2016,11,17,20,0,11.91,,,
2016,11,17,21,0,11.32,,,
2016,11,17,22,0,12.17,,,
2016,11,17,23,0,12.24,,,
2016,11,18,0,0,12.28,,,
2016,11,18,1,0,11.95,,,
2016,11,18,2,0,11.27,,,
2016,11,18,3,0,11.34,,,
2016,11,18,4,0,12.51,,,
2016,11,18,5,0,12.32,,,
2016,11,18,6,0,11.91,,,
2016,11,18,7,0,11.8,,,
2016,11,18,8,0,12.06,,,
2016,11,18,9,0,13.23,,,
2016,11,18,10,0,14.08,,,
2016,11,18,11,0,14.53,,,
2016,11,18,12,0,14.49,,,
2016,11,18,13,0,15.71,,,
2016,11,18,14,0,15.96,,,
2016,11,18,15,0,15.57,,,
2016,11,18,16,0,14.41,,,
2016,11,18,17,0,7.68,,,
2016,11,18,18,0,7.63,,,
2016,11,18,19,0,7.5,,,
2016,11,18,20,0,7.64,,,
2016,11,18,21,0,8.16,,,
2016,11,18,22,0,8.11,,,
2016,11,18,23,0,8.03,,,
2016,11,19,0,0,8.09,,,
2016,11,19,1,0,8.11,,,
2016,11,19,2,0,8.34,,,
2016,11,19,3,0,8.35,,,
2016,11,19,4,0,7.82,,,
2016,11,19,5,0,7.51,,,
2016,11,19,6,0,7.19,,,
2016,11,19,7,0,6.61,,,
2016,11,19,8,0,6.12,,,
2016,11,19,9,0,6.29,,,
2016,11,19,10,0,7.62,,,
